plant_name_id,ipni_id,taxon,genus,species,family,prediction,predicted_threat,prediction_binomial,accuracy_binomial,category,observed_threat,threat_binomial,confidence,mean_alt,total_flor_regions,mean_eoo,mean_aoo,pa_binomial,protected,II,IV,VI,trop_subtrop_moist_broad,trop_subtrop_grass_sav_shrub,desert_xeric,flooded_grass,montane_grass,hfp_delta_class1,hfp_delta_class2,hfp_delta_class3,hfp_delta_class4,hfp_delta_class5,hfp_2009_class1,hfp_2009_class2,hfp_2009_class3,hfp_2009_class4,hfp_2009_class5,hfp_2009_class6,hfp_2009_class7,hfp_2009_class8,hfp_2009_class9,hfp_2009_class10,hfp_quant_1to3,hfp_quant_1to4,sqrt_eoo,sqrt_aoo,sqrt_desert,new_pred,threatened,.lower,.upper
111618-wcs,449302-1,Leucas aequistylosa,Leucas,aequistylosa,Lamiaceae,correct,T,0,1,VU,T,1,confident,1737.5,2,855,12,1,present,present,absent,absent,0.193046101,0.590681978,0,0,0.21627192,0.024398799,0.063567853,0.638091867,0.234045291,0.03989619,0,0,0.118187508,0.22128451,0.221307684,0.18953164,0.132898237,0.084702889,0.029336752,0.00275078,0.118187508,0.339472018,29.24038303,3.464101615,0,threatened,0.665802005,0.575116743,0.739390657
532302-wcs,60477040-2,Leucas gypsicola,Leucas,gypsicola,Lamiaceae,correct,T,0,1,CR,T,1,confident,950,1,4,4,0,absent,absent,absent,absent,0.106125158,0.724259096,0,0,0.169615747,0.006419927,0.019884681,0.711662548,0.236233117,0.025799727,0,0,0.137293545,0.237275573,0.251895299,0.18876179,0.128359068,0.047075816,0.009141814,0.000197096,0.137293545,0.374569119,2,2,0,threatened,0.721307545,0.647273577,0.792759679
111886-wcs,449498-1,Leucas stachydiformis,Leucas,stachydiformis,Lamiaceae,correct,NT,0,1,LC,NT,0,low_confidence,2450,7,268731,292,1,present,present,absent,present,0.186212976,0.534457079,0,0,0.279329944,0.01884221,0.044892259,0.519999353,0.276595465,0.139670713,0,1.75E-09,0.040654287,0.157357951,0.167153748,0.184316695,0.155694021,0.182172272,0.092290765,0.020360259,0.040654289,0.198012239,518.3927083,17.08800749,0,not_threatened,0.385936517,0.308428792,0.450876881
498913-az,987875-1,Lindenbergia awashensis,Lindenbergia,awashensis,Orobanchaceae,correct,T,0,1,EN,T,1,confident,1050,3,666,52,1,present,absent,present,present,0.152882471,0.279551151,0.26814112,0,0.299425258,0.012645541,0.048053422,0.602765464,0.177984107,0.158551466,6.75E-06,0.000164313,0.035778307,0.054795748,0.225523812,0.174179077,0.116744326,0.194164538,0.155225376,0.043417757,0.035949365,0.090745113,25.8069758,7.211102551,0.517823445,threatened,0.712145725,0.649731689,0.777466816
112611-wcs,640689-1,Liparis abyssinica,Liparis,abyssinica,Orchidaceae,correct,T,0,1,EN,T,1,low_confidence,2150,2,134,8,0,absent,absent,absent,absent,0.389339939,0.258380346,0.003221747,0,0.349057968,0.047859024,0.136571413,0.452912204,0.292106656,0.070550702,0,0,0.041015096,0.107058508,0.119146342,0.205474001,0.237390039,0.225747879,0.057635938,0.006532197,0.041015096,0.148073604,11.5758369,2.828427125,0.056760437,threatened,0.436031706,0.332486021,0.522712416
352354-wcs,971848-1,Lobelia acrochila,Lobelia,acrochila,Campanulaceae,over,T,2,0,NT,NT,0,confident,2950,5,23372,64,1,present,present,absent,present,0.158168305,0.643183832,0.004643204,0,0.194004659,0.013209519,0.040933307,0.623707214,0.239122263,0.083027697,0.000108206,0.000917983,0.047349028,0.188528548,0.202282081,0.183146933,0.153977316,0.128790517,0.073654469,0.02124492,0.048375217,0.236903765,152.8790372,8,0.068141062,over,0.699112328,0.61135659,0.787399431
353459-wcs,143242-1,Lobelia erlangeriana,Lobelia,erlangeriana,Campanulaceae,over,T,2,0,NT,NT,0,confident,3650,5,17096,88,1,present,present,absent,present,0.191326838,0.516073082,0.012400664,0,0.280199416,0.021597534,0.070121045,0.537084639,0.260744849,0.110451933,0.000272972,0.001522693,0.073695349,0.134174183,0.161038824,0.172767377,0.154878482,0.169733561,0.102415469,0.02950109,0.075491013,0.209665197,130.751673,9.38083152,0.111358268,over,0.579103148,0.481065716,0.666351919
352921-wcs,143774-1,Lobelia rhynchopetalum,Lobelia,rhynchopetalum,Campanulaceae,under,NT,1,0,CR,T,1,low_confidence,3675,7,121495.5,182,1,present,present,absent,absent,0.186212976,0.534457079,0,0,0.279329944,0.01884221,0.044892259,0.519999353,0.276595465,0.139670713,0,1.75E-09,0.040654287,0.157357951,0.167153748,0.184316695,0.155694021,0.182172272,0.092290765,0.020360259,0.040654289,0.198012239,348.5620461,13.49073756,0,under,0.389386803,0.301411211,0.479583376
352884-wcs,143824-1,Lobelia scebelii,Lobelia,scebelii,Campanulaceae,over,T,2,0,LC,NT,0,confident,2350,4,33174,116,1,present,present,absent,absent,0.183793051,0.517705291,0.007623667,0,0.290877991,0.019573083,0.060945606,0.549557303,0.252096005,0.117828003,0.000177664,0.001507235,0.073536538,0.143122549,0.166412769,0.163473241,0.147483681,0.162721442,0.108986624,0.032578259,0.075221437,0.218343985,182.1373108,10.77032961,0.087313611,over,0.656960358,0.577343746,0.737821061
352881-wcs,143827-1,Lobelia schimperi,Lobelia,schimperi,Campanulaceae,under,NT,1,0,VU,T,1,low_confidence,3100,1,457,32,1,present,present,absent,absent,0.208939152,0.38674431,0,0,0.404316538,0.048637836,0.070832958,0.282465695,0.321789201,0.27627431,0,0,0.034972436,0.047454254,0.077413744,0.240801248,0.182840678,0.332216996,0.075856731,0.008443913,0.034972436,0.08242669,21.37755833,5.656854249,0,under,0.421510376,0.310739204,0.519893434
352368-wcs,960257-1,Lobelia tripartita,Lobelia,tripartita,Campanulaceae,correct,T,0,1,CR,T,1,confident,2200,1,8,8,1,present,present,absent,absent,0.106125158,0.724259096,0,0,0.169615747,0.006419927,0.019884681,0.711662548,0.236233117,0.025799727,0,0,0.137293545,0.237275573,0.251895299,0.18876179,0.128359068,0.047075816,0.009141814,0.000197096,0.137293545,0.374569119,2.828427125,2.828427125,0,threatened,0.731125499,0.655870254,0.80475779
371094-az,147660-1,Maerua boranensis,Maerua,boranensis,Capparaceae,correct,T,0,1,EN,T,1,confident,1075,1,14591,16,1,present,present,absent,absent,0.174789642,0.675266597,0.022200944,0,0.127742817,0.027529804,0.076756648,0.658514077,0.207759216,0.029440255,0.000517376,0.004389231,0.071158313,0.169432092,0.20929314,0.210743404,0.181507803,0.108523285,0.028394992,0.016040364,0.07606492,0.245497012,120.7932117,4,0.148999813,threatened,0.654917279,0.58945692,0.725759123
