genus,species,taxon,family,prediction,category,confidence,altitude,min_alt,max_alt,mean_alt,alt_range,floristic_region_codes,data_collection_type,mean_eoo,calculation,mean_aoo,calculation.1,presence_pa,AF,AR,BA,GD,GG,GJ,HA,IL,KF,SD,SU,TU,WG,WU,total_flor_regions,prediction_binomial
Poa,pumilio,Poa pumilio,Poaceae,under,CR,confident,4200,4200,4200,4200,0,GD,text,18,text,18,text,yes,not present,not present,not present,present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,1,0
Polygala,mooneyi,Polygala mooneyi,Polygalaceae,correct,EN,confident,1800-2000,1800,2000,1900,200,NA,NA,12,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala,gondarensis,Polygala gondarensis,Polygalaceae,over,LC,low_confidence,1700-2000,1700,2000,1850,300,"KF, SD, WG",text,49475,text,20,geocat (GBIF points),yes,not present,not present,not present,not present,not present,not present,not present,not present,present,present,not present,not present,present,not present,3,1
Polyscias,farinosa,Polyscias farinosa,Araliaceae,correct,NT,low_confidence,1700-2100,1700,2100,1900,400,NA,NA,160060,text,56,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polysphaeria,aethiopica,Polysphaeria aethiopica,Rubiaceae,correct,EN,confident,800-1350,800,1350,1075,550,NA,NA,246,geocat (RL points),12,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polystachya,caduca,Polystachya caduca,Orchidaceae,over,NT,confident,2400-2600,2400,2600,2500,200,"AR, BA, GJ, HA, KF, SD, SU, WG",text,194699,text,56,text,yes,not present,present,present,not present,not present,present,present,not present,present,present,present,not present,present,not present,8,1
Polystachya,aethiopica,Polystachya aethiopica,Orchidaceae,correct,VU,confident,1350-2200,1350,2200,1775,850,NA,NA,47873,text,36,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudog phalium,petitianum,Pseudognaphalium petitianum,Asteraceae,under,EN,low_confidence,2800-2875,2800,2875,2837.5,75,NA,NA,12492,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudolithos,gigas,Pseudolithos gigas,Apocynaceae,correct,EN,confident,300-600,300,600,450,300,NA,NA,8,infer,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranunculus,simensis,Ranunculus simensis,Ranunculaceae,correct,NT,low_confidence,2400-3150,2400,3150,2775,750,NA,NA,138741,text,92,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranunculus,tembensis,Ranunculus tembensis,Ranunculaceae,under,EN,low_confidence,3050-3500,3050,3500,3275,450,"BA, GD, TU",text,25737,text,20,text,yes,not present,not present,present,present,not present,not present,not present,not present,not present,not present,not present,present,not present,not present,3,0
Ranunculus,distrias,Ranunculus distrias,Ranunculaceae,correct,NT,low_confidence,2400-3100,2400,3100,2750,700,NA,NA,92978,text,52,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinacanthus,mucronatus,Rhinacanthus mucronatus,Acanthaceae,correct,EN,confident,1275-1625,1275,1625,1450,350,NA,NA,2128,text,24,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhipidoglossum,candidum,Rhipidoglossum candidum,Orchidaceae,correct,EN,confident,2000-2100,2000,2100,2050,100,NA,NA,17012,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchosia,erlangeri,Rhynchosia erlangeri,Fabaceae,correct,EN,low_confidence,1840-2600,1840,2600,2220,760,NA,NA,2522,text,20,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchosia,malacotricha,Rhynchosia malacotricha,Fabaceae,correct,EN,low_confidence,1350-2000,1350,2000,1675,650,NA,NA,2601,text,28,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchosia,stipulosa,Rhynchosia stipulosa,Fabaceae,under,EN,confident,1000-1800,1000,1800,1400,800,"TU, WG, WU",text,16,infer,16,text,no,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,present,present,present,3,0
